age,income,credit_score,loan_amount,approved
59,24370,681,18211,1
49,44045,642,29095,1
35,72584,522,10759,1
63,68671,634,45908,0
28,35326,756,48077,1
41,87777,747,48468,1
59,50639,636,48403,1
39,80874,654,18622,0
43,59766,655,44129,0
31,41278,531,37676,1
31,91980,566,3374,1
44,88551,489,42633,1
56,59583,347,11481,0
60,90400,583,34737,1
44,29676,354,1631,0
23,24234,638,27197,1
42,41340,418,13564,0
22,28526,301,36730,0
44,92378,523,32283,0
64,54626,502,16479,1
50,21207,310,38926,0
58,82420,558,21268,1
22,72097,597,43328,0
41,84414,496,13114,1
53,25429,714,17070,0
32,73591,632,18886,1
42,27591,452,18601,1
64,58660,675,10859,0
45,97313,433,33128,1
69,60459,415,42715,0
47,98084,366,12374,0
62,82099,555,43879,0
48,82848,487,31267,0
36,98405,338,18713,0
35,24661,779,25918,1
67,64802,626,13117,0
64,38782,429,32394,0
23,69179,362,15855,1
57,21898,396,44575,0
27,98455,711,27299,0
41,60068,829,45214,0
29,87963,745,5358,1
59,96303,535,5376,0
38,78654,384,42458,0
24,56123,654,6655,0
45,76198,701,8793,0
34,72872,465,23624,0
29,24902,527,49586,0
46,46850,666,14919,1
22,68554,709,35140,0
40,63034,359,40488,0
48,84843,463,15983,1
67,28280,529,21652,0
27,66814,456,3460,0
64,77465,673,23558,1
28,66973,541,47904,1
67,57729,467,17542,0
55,52800,420,18004,1
34,94423,301,9433,1
37,98871,417,20643,1
56,91713,806,37023,0
60,61206,673,39559,1
24,23926,407,20037,0
22,80445,598,31012,1
26,63056,732,3236,1
62,95690,411,21927,0
24,88495,705,34033,1
49,54161,799,43393,1
38,79251,318,43052,1
46,38407,319,46654,0
64,98561,805,20784,0
54,91600,453,14408,1
30,76714,814,44261,0
56,26639,777,12044,1
34,22478,683,49992,0
51,84546,497,3243,0
68,93465,478,2885,1
35,82876,827,22129,0
28,61941,346,29190,1
34,49974,482,40380,0
43,64183,653,37357,1
60,28418,786,22568,1
41,77148,515,48864,1
36,99919,722,37553,1
65,51708,308,42857,0
38,52924,512,4575,1
67,43382,438,18800,0
44,46649,620,38456,0
46,50373,390,14761,0
45,94501,614,11575,0
65,42791,411,23370,1
61,78896,412,25440,0
49,43115,673,5827,1
35,37341,562,39130,0
65,36637,667,30324,1
21,44269,677,10402,0
45,43877,344,14030,1
27,60273,570,21057,1
29,76035,794,3293,0
44,32405,546,9001,0
21,82309,473,6461,0
64,61767,335,9155,1
28,29973,601,46438,0
44,78565,457,6142,1
31,43091,332,33398,1
37,39584,681,13197,1
28,94607,723,16927,1
55,90624,594,2757,1
55,36550,714,28200,1
53,22063,618,20816,1
25,93839,324,34615,1
62,31631,733,28864,0
59,21125,358,5719,0
61,55409,476,26581,1
48,70581,841,28385,1
27,42485,344,22960,1
29,98330,751,42871,1
28,94398,608,18764,1
32,21690,453,15257,0
54,35740,439,4824,0
53,68643,684,29585,0
68,29156,332,48549,1
43,57214,670,2291,0
44,83389,477,44972,0
57,95694,659,27198,0
55,22808,735,46639,0
64,82987,305,13266,1
60,90938,530,35530,0
42,87500,700,45159,1
47,82167,322,37947,0
55,80734,460,40451,0
21,37206,493,8626,1
55,29629,565,15736,1
57,52337,382,6079,0
67,83829,467,28126,1
34,89401,643,23878,0
23,89830,311,25238,0
21,66939,833,47110,0
25,32965,829,9548,1
46,32228,749,49804,0
34,68419,789,25736,1
59,69229,466,32368,0
47,32822,764,27498,0
29,50070,306,43480,0
35,88723,462,31988,0
35,27135,494,22915,1
46,99044,618,17947,1
62,59441,429,4991,1
33,59884,408,17393,0
52,38043,518,9718,0
59,95043,805,32081,0
69,23062,728,9868,1
52,72214,543,22306,0
24,73409,737,12319,0
50,30868,606,1487,0
57,88089,554,9477,0
43,37428,626,26843,1
59,91493,708,24615,0
65,90114,300,26410,0
35,58389,493,43259,0
63,54734,663,32989,1
49,96084,421,2122,1
56,85107,663,20965,1
33,31679,303,8023,0
52,67743,448,36979,1
27,44717,360,3156,0
42,45579,416,37559,1
48,84102,537,39111,0
22,54782,437,44058,0
62,90160,757,10568,0
65,43103,784,44087,0
26,73077,381,47620,0
48,48534,346,34114,0
48,58636,643,31770,1
64,70486,638,30271,1
64,53435,535,22375,1
40,53152,763,49286,1
50,78952,675,6228,1
31,39638,422,17837,0
48,36396,545,43269,0
45,60494,553,9281,1
59,46783,580,26895,1
53,25403,366,36271,0
21,84052,832,36770,1
47,43838,833,2162,0
33,58919,474,39402,1
61,97895,490,19307,1
23,67995,584,2788,0
59,42614,604,47304,0
26,95593,706,6892,0
28,20100,631,46729,1
47,81720,604,14965,0
29,90514,636,39284,1
57,30988,329,42404,0
53,97167,739,4892,1
62,97229,557,40133,1
64,58148,533,47270,1
44,33823,325,33743,0
35,44696,822,11186,0
52,31629,683,6640,1
52,23856,835,28326,1
44,51051,692,7455,0
61,86611,761,5428,0
69,53469,437,35124,1
69,93721,409,21447,1
32,92372,774,29031,1
59,66072,627,49842,0
22,63406,505,26086,0
23,55017,370,49240,1
69,30705,509,3560,0
57,39606,484,38951,1
69,93654,682,24771,0
37,55319,698,20015,1
69,77254,844,37366,0
22,65318,613,44413,0
22,22214,527,37243,1
48,94070,445,37652,1
43,69869,321,12352,1
57,55228,599,4663,0
52,64696,564,48271,1
53,23255,349,40341,1
21,47841,674,29250,0
39,25334,360,47940,1
22,97817,318,21363,0
64,60522,607,25243,1
46,59708,836,31470,1
52,85150,506,5311,1
26,50697,624,8556,1
52,30722,374,23062,0
24,85480,717,12104,1
31,36029,627,24717,0
37,85550,580,32591,1
58,97042,374,37650,1
44,28208,540,2733,0
25,95507,304,40047,1
54,28127,514,33597,0
26,67782,786,5785,0
42,35646,656,46941,0
31,42713,693,26165,0
68,52267,454,21360,0
36,23864,690,22644,0
53,96197,668,28743,1
29,52559,328,48949,1
26,95858,722,48266,0
36,92246,308,23552,1
49,51362,499,28068,1
23,52380,744,37894,1
40,84994,633,31454,0
56,61284,529,30232,1
39,99922,692,34450,1
46,98874,607,11540,1
23,75277,630,48731,0
39,35316,659,11451,0
40,44463,482,6126,1
52,95739,686,25052,1
27,24888,408,2225,1
61,31325,638,38509,0
53,39088,499,2240,0
60,94922,480,45849,0
59,96803,839,26029,1
38,35419,736,23828,1
60,73749,339,48797,1
21,65854,521,11875,1
31,22904,596,26744,1
48,98966,328,41789,1
45,83556,501,30014,0
43,40700,784,48516,1
51,47633,429,18087,1
50,44055,347,8622,0
62,38642,715,44618,0
55,73014,756,26207,1
27,78274,348,8014,0
36,23646,375,39291,1
46,33173,845,48897,1
68,27025,547,32196,0
69,32549,589,42342,0
22,34853,834,39049,1
21,70423,830,26092,0
68,81156,735,36205,1
32,31326,682,40391,0
25,23463,395,36498,0
57,47163,550,6920,1
52,34075,540,30906,0
29,63315,604,11088,1
61,36010,739,34937,0
55,86433,787,3982,0
39,20605,797,45961,0
68,56445,431,34950,0
36,57315,701,42040,1
23,28652,675,6460,1
40,52229,842,19773,1
44,50530,670,7421,1
53,69101,711,20542,0
44,57924,454,42051,1
31,58541,544,49573,1
69,84658,841,14567,1
28,76327,374,21013,0
56,63654,505,40645,1
58,35930,727,44180,1
60,23518,720,17203,1
40,50982,448,18388,0
55,26775,387,34231,1
68,43990,805,23996,1
45,25378,467,10740,1
55,66402,488,10710,0
45,59441,413,47019,1
49,91980,312,41740,1
38,99712,456,2629,1
66,45060,480,12225,1
38,94915,619,26741,1
22,66993,591,13580,0
55,42765,776,22976,0
36,79053,732,42306,1
61,43196,468,22773,0
56,35468,701,34217,0
53,28174,457,42665,0
24,65820,683,44905,0
53,39098,697,20711,0
34,92582,355,31388,0
41,24186,372,25152,0
68,36722,772,27796,1
40,91504,479,23308,0
28,60452,493,49282,0
27,48270,683,4251,0
23,68311,528,24534,1
37,61129,565,20285,1
53,26387,370,30310,0
68,44394,390,16731,0
32,96827,375,24609,0
42,50093,744,22126,0
42,76636,496,26740,1
66,88146,483,23575,1
50,55241,376,29530,0
58,74407,747,11907,1
58,48337,596,38292,0
65,24804,687,21151,0
28,54058,621,4547,1
47,95763,720,23743,0
47,77450,845,48778,0
54,71759,605,22628,1
41,79529,645,21990,0
50,51334,560,41800,0
53,83534,645,24460,1
48,83452,448,6256,0
67,26511,717,22361,1
53,60965,328,29546,0
25,59440,762,24667,0
68,83118,488,6249,1
39,69217,364,23969,0
24,51139,758,25853,0
55,88517,523,21989,0
69,32785,775,21964,1
37,74740,625,38143,1
64,90632,818,41141,0
48,33950,491,7880,0
50,84642,387,1912,1
49,71169,757,45729,1
66,92209,457,15521,1
26,87278,572,41340,1
55,58488,631,37172,0
61,56277,581,42150,0
57,65041,462,43354,1
44,23534,473,39699,0
49,90672,407,4495,1
69,91121,600,36914,0
66,94090,630,5324,0
51,76310,443,42307,1
55,21634,357,29277,1
53,36908,597,41130,0
41,41310,487,21942,0
52,87258,739,18559,1
43,94147,787,8144,1
53,76081,689,17818,0
23,81572,319,8778,1
38,89400,511,15589,0
45,86603,835,1987,0
62,92807,519,40273,1
51,97364,472,23403,0
23,51131,300,11105,1
60,40386,767,28901,0
66,69781,324,39558,1
44,81760,503,36776,0
52,87370,500,17669,0
67,74470,490,37807,0
42,73283,708,2575,1
43,22353,777,42588,0
22,33878,603,30227,0
47,96668,835,14019,0
62,28203,381,46729,1
22,30322,846,3691,1
46,96831,845,30911,1
37,78775,561,2434,0
60,55925,476,29969,0
53,42247,514,20594,0
29,37340,440,12125,1
63,42522,567,22626,1
68,64594,438,20761,0
59,97631,346,14970,0
49,66335,359,43310,0
62,54723,360,6152,1
46,95740,394,42549,1
55,24991,774,36708,1
45,56833,339,12084,0
44,36067,645,12898,0
33,33763,626,24122,0
27,71955,736,16926,1
56,64863,705,20976,1
65,37408,510,11429,1
40,45176,337,42954,0
21,55097,767,24869,1
28,71850,616,42842,0
66,73846,510,46401,1
36,55794,382,26155,1
34,83324,655,43394,1
32,78486,838,16670,0
43,21011,508,19758,0
35,43427,575,16795,1
48,58392,791,43296,1
54,78990,597,38217,0
22,70852,357,26590,1
52,35229,595,34463,0
43,98780,758,30193,1
42,45302,695,48808,0
45,43536,673,41305,0
42,25585,361,12207,0
42,69130,745,46311,0
69,81957,386,6164,1
62,77210,698,33045,0
26,25456,423,29390,1
35,73861,818,21561,0
63,57289,582,15463,1
57,29775,813,41306,1
53,84881,456,34611,0
28,34099,525,32933,1
64,61842,693,33323,0
64,77163,565,18059,0
25,97762,565,47088,1
59,94675,848,6058,0
24,64867,587,16064,0
26,29859,591,40987,0
65,75700,619,21597,1
52,22539,772,15436,0
50,98735,698,36439,0
67,53158,372,1858,1
55,85618,827,11041,0
60,70154,382,36282,1
36,77824,473,45135,1
33,32281,727,21203,0
62,35120,590,29197,1
50,29946,680,10185,1
39,96427,662,29686,1
37,46111,485,10359,1
39,72396,304,26398,1
48,53290,561,5345,1
46,54462,478,1387,1
57,24837,441,23809,1
46,31801,567,11990,1
43,43710,769,4366,0
29,60916,367,31590,0
32,33065,406,32103,1
21,82546,736,42006,1
21,65474,330,49601,0
67,56388,846,46999,0
54,96167,820,21144,0
52,94667,341,32331,1
68,99843,486,26661,0
45,23709,600,13860,0
60,68754,560,48221,1
65,25094,789,17864,1
21,29415,556,42991,1
36,68846,366,45837,1
59,99066,519,29963,1
25,27472,622,44575,1
42,83730,358,12820,0
49,56131,477,33561,0
23,47948,760,34299,0
32,66908,589,13222,1
46,69835,411,7326,0
36,43115,623,6025,1
57,47961,481,43858,0
42,67083,765,32067,0
49,79417,523,32007,1
34,72062,697,10928,0
48,67182,459,8210,1
25,22017,753,16756,1
67,24223,662,20457,0
69,81852,302,32676,0
50,70509,659,10427,1
66,43075,614,29557,1
25,26531,321,32401,1
32,24666,720,21622,0
36,64023,425,35908,0
46,55236,704,37985,1
46,60059,567,18847,0
68,60023,405,22364,0
41,24236,844,49383,1
59,87475,470,43932,0
56,56624,604,19681,0
53,52818,633,14928,1
50,50100,317,20257,1
57,86896,699,20685,0
43,64696,467,13756,1
30,97530,634,27466,0
25,44941,454,5560,1
56,79347,675,27361,1
54,96629,380,35923,1
51,53025,749,26661,1
30,31651,609,44064,0
39,69823,654,32482,0
52,68122,623,3179,0
21,33589,527,18485,0
25,59768,490,22351,1
65,84986,596,17223,1
24,20234,488,33721,0
36,92370,492,39305,1
44,35055,812,23303,1
36,88743,308,32565,0
22,22400,442,34763,0
69,95145,786,10377,0
48,74157,493,49069,1
52,80598,821,19215,0
47,45015,732,7690,0
40,99720,438,17910,0
44,86186,329,44826,0
32,84430,578,15811,1
55,69185,341,49932,1
53,82306,527,6157,1
53,39416,779,43644,1
63,98655,716,2239,0
57,93180,500,11249,0
32,70262,620,1099,1
23,94189,667,11153,1
